year	age	educ	degree	sex	postlife	happy	life	richwork	news	tvhours	usewww	zodiac	degree3	newsreordered	id	income98	region	vote96	vote00
2002	40	12	0	1	1	3	1	1	0	-1	2	1	1	0	99	16	9	1	1
2002	32	11	0	1	8	2	2	1	0	-1	2	99	1	0	99	19	9	1	1
2002	33	13	0	1	0	0	0	0	0	-1	1	4	1	0	99	23	9	1	1
2002	34	12	1	1	0	0	0	0	0	-1	2	99	2	0	99	14	9	1	1
2002	57	14	1	1	1	2	1	1	2	4	2	9	2	4	99	23	9	1	1
2002	53	12	1	2	8	2	0	0	2	1	1	7	2	4	99	22	9	2	2
2002	82	12	1	2	1	1	1	0	0	-1	2	99	2	0	99	20	9	1	1
2002	33	14	2	2	0	0	0	0	0	-1	1	99	2	0	99	13	9	 	 
2002	67	16	3	2	0	0	0	0	0	-1	1	4	3	0	99	23	9	1	1
2002	29	20	3	1	0	0	0	0	0	-1	1	2	3	0	99	2	9	1	1
2002	72	20	4	2	0	0	0	0	0	-1	1	1	3	0	99	24	9	1	1
2002	76	12	1	2	0	0	0	0	0	-1	2	10	2	0	99	20	9	1	1
2002	55	16	3	2	8	2	0	0	1	3	1	11	3	5	99	20	9	1	1
2002	89	2	0	1	2	1	1	0	0	-1	2	11	1	0	99	15	9	2	2
2002	21	14	1	2	0	0	0	0	0	-1	1	5	2	0	99	20	3	1	1
2002	33	14	2	2	0	0	0	0	0	-1	2	10	2	0	99	19	3	1	2
2002	24	12	1	2	1	3	0	0	4	6	1	10	2	2	99	19	3	1	1
2002	40	12	1	1	0	0	0	0	0	-1	1	3	2	0	99	20	3	1	1
2002	25	12	1	1	2	2	0	0	2	1	2	1	2	4	99	19	3	1	1
2002	32	13	1	1	2	2	2	1	0	-1	1	10	2	0	99	23	3	1	1
2002	23	14	2	1	1	2	0	0	4	6	1	7	2	2	99	19	3	1	1
2002	26	9	0	1	0	0	0	0	0	-1	2	9	1	0	99	22	3	1	1
2002	67	10	0	2	0	0	0	0	0	-1	2	5	1	0	99	18	3	1	1
2002	24	11	1	1	1	2	1	1	2	3	1	3	2	4	99	19	3	1	2
2002	53	18	4	2	0	0	0	0	0	-1	1	4	3	0	99	24	3	1	1
2002	50	14	1	2	1	1	1	0	2	7	2	5	2	4	99	9	3	1	1
2002	54	14	1	1	1	2	0	0	1	1	1	6	2	5	99	10	3	1	1
2002	28	12	1	1	1	2	1	2	0	-1	1	4	2	0	99	19	3	1	1
2002	62	9	0	2	0	0	0	0	0	-1	2	8	1	0	99	17	3	1	1
2002	39	12	1	2	2	2	0	0	4	3	2	4	2	2	99	21	3	 	1
2002	46	13	1	2	0	0	0	0	0	-1	1	2	2	0	99	19	3	 	2
2002	45	9	0	2	0	0	0	0	0	-1	2	5	1	0	99	98	3	1	1
2002	28	16	3	2	0	0	0	0	0	-1	2	4	3	0	99	16	3	1	1
2002	42	14	2	1	1	1	0	0	1	1	2	9	2	5	99	23	3	1	1
2002	25	16	3	2	8	1	1	1	0	-1	1	8	3	0	99	10	3	1	1
2002	30	11	0	2	0	0	0	0	0	-1	2	10	1	0	99	10	3	1	2
